Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
131,7.4,2.8,6.1,1.9,Iris-virginica
123,7.7,2.8,6.7,2.0,Iris-virginica
82,5.5,2.4,3.7,1.0,Iris-versicolor
72,6.1,2.8,4.0,1.3,Iris-versicolor
90,5.5,2.5,4.0,1.3,Iris-versicolor
101,6.3,3.3,6.0,2.5,Iris-virginica
7,4.6,3.4,1.4,0.3,Iris-setosa
124,6.3,2.7,4.9,1.8,Iris-virginica
31,4.8,3.1,1.6,0.2,Iris-setosa
127,6.2,2.8,4.8,1.8,Iris-virginica
45,5.1,3.8,1.9,0.4,Iris-setosa
112,6.4,2.7,5.3,1.9,Iris-virginica
61,5.0,2.0,3.5,1.0,Iris-versicolor
34,5.5,4.2,1.4,0.2,Iris-setosa
33,5.2,4.1,1.5,0.1,Iris-setosa
83,5.8,2.7,3.9,1.2,Iris-versicolor
130,7.2,3.0,5.8,1.6,Iris-virginica
18,5.1,3.5,1.4,0.3,Iris-setosa
16,5.7,4.4,1.5,0.4,Iris-setosa
60,5.2,2.7,3.9,1.4,Iris-versicolor
51,7.0,3.2,4.7,1.4,Iris-versicolor
53,6.9,3.1,4.9,1.5,Iris-versicolor
49,5.3,3.7,1.5,0.2,Iris-setosa
65,5.6,2.9,3.6,1.3,Iris-versicolor
146,6.7,3.0,5.2,2.3,Iris-virginica
2,4.9,3.0,1.4,0.2,Iris-setosa
144,6.8,3.2,5.9,2.3,Iris-virginica
88,6.3,2.3,4.4,1.3,Iris-versicolor
121,6.9,3.2,5.7,2.3,Iris-virginica
5,5.0,3.6,1.4,0.2,Iris-setosa
35,4.9,3.1,1.5,0.1,Iris-setosa
87,6.7,3.1,4.7,1.5,Iris-versicolor
10,4.9,3.1,1.5,0.1,Iris-setosa
134,6.3,2.8,5.1,1.5,Iris-virginica
38,4.9,3.1,1.5,0.1,Iris-setosa
25,4.8,3.4,1.9,0.2,Iris-setosa
89,5.6,3.0,4.1,1.3,Iris-versicolor
40,5.1,3.4,1.5,0.2,Iris-setosa
79,6.0,2.9,4.5,1.5,Iris-versicolor
14,4.3,3.0,1.1,0.1,Iris-setosa
13,4.8,3.0,1.4,0.1,Iris-setosa
96,5.7,3.0,4.2,1.2,Iris-versicolor
115,5.8,2.8,5.1,2.4,Iris-virginica
102,5.8,2.7,5.1,1.9,Iris-virginica
26,5.0,3.0,1.6,0.2,Iris-setosa
111,6.5,3.2,5.1,2.0,Iris-virginica
75,6.4,2.9,4.3,1.3,Iris-versicolor
20,5.1,3.8,1.5,0.3,Iris-setosa
113,6.8,3.0,5.5,2.1,Iris-virginica
30,4.7,3.2,1.6,0.2,Iris-setosa
129,6.4,2.8,5.6,2.1,Iris-virginica
118,7.7,3.8,6.7,2.2,Iris-virginica
17,5.4,3.9,1.3,0.4,Iris-setosa
55,6.5,2.8,4.6,1.5,Iris-versicolor
147,6.3,2.5,5.0,1.9,Iris-virginica
132,7.9,3.8,6.4,2.0,Iris-virginica
66,6.7,3.1,4.4,1.4,Iris-versicolor
73,6.3,2.5,4.9,1.5,Iris-versicolor
37,5.5,3.5,1.3,0.2,Iris-setosa
84,6.0,2.7,5.1,1.6,Iris-versicolor
95,5.6,2.7,4.2,1.3,Iris-versicolor
136,7.7,3.0,6.1,2.3,Iris-virginica
69,6.2,2.2,4.5,1.5,Iris-versicolor
104,6.3,2.9,5.6,1.8,Iris-virginica
41,5.0,3.5,1.3,0.3,Iris-setosa
81,5.5,2.4,3.8,1.1,Iris-versicolor
9,4.4,2.9,1.4,0.2,Iris-setosa
103,7.1,3.0,5.9,2.1,Iris-virginica
77,6.8,2.8,4.8,1.4,Iris-versicolor
106,7.6,3.0,6.6,2.1,Iris-virginica
80,5.7,2.6,3.5,1.0,Iris-versicolor
145,6.7,3.3,5.7,2.5,Iris-virginica
137,6.3,3.4,5.6,2.4,Iris-virginica
27,5.0,3.4,1.6,0.4,Iris-setosa
125,6.7,3.3,5.7,2.1,Iris-virginica
59,6.6,2.9,4.6,1.3,Iris-versicolor
3,4.7,3.2,1.3,0.2,Iris-setosa
116,6.4,3.2,5.3,2.3,Iris-virginica
4,4.6,3.1,1.5,0.2,Iris-setosa
138,6.4,3.1,5.5,1.8,Iris-virginica
68,5.8,2.7,4.1,1.0,Iris-versicolor
62,5.9,3.0,4.2,1.5,Iris-versicolor
47,5.1,3.8,1.6,0.2,Iris-setosa
150,5.9,3.0,5.1,1.8,Iris-virginica
110,7.2,3.6,6.1,2.5,Iris-virginica
12,4.8,3.4,1.6,0.2,Iris-setosa
44,5.0,3.5,1.6,0.6,Iris-setosa
140,6.9,3.1,5.4,2.1,Iris-virginica
143,5.8,2.7,5.1,1.9,Iris-virginica
56,5.7,2.8,4.5,1.3,Iris-versicolor
126,7.2,3.2,6.0,1.8,Iris-virginica
28,5.2,3.5,1.5,0.2,Iris-setosa
119,7.7,2.6,6.9,2.3,Iris-virginica
91,5.5,2.6,4.4,1.2,Iris-versicolor
114,5.7,2.5,5.0,2.0,Iris-virginica
122,5.6,2.8,4.9,2.0,Iris-virginica
32,5.4,3.4,1.5,0.4,Iris-setosa
63,6.0,2.2,4.0,1.0,Iris-versicolor
98,6.2,2.9,4.3,1.3,Iris-versicolor
74,6.1,2.8,4.7,1.2,Iris-versicolor
99,5.1,2.5,3.0,1.1,Iris-versicolor
92,6.1,3.0,4.6,1.4,Iris-versicolor
1,5.1,3.5,1.4,0.2,Iris-setosa
120,6.0,2.2,5.0,1.5,Iris-virginica
71,5.9,3.2,4.8,1.8,Iris-versicolor
76,6.6,3.0,4.4,1.4,Iris-versicolor
6,5.4,3.9,1.7,0.4,Iris-setosa
50,5.0,3.3,1.4,0.2,Iris-setosa
22,5.1,3.7,1.5,0.4,Iris-setosa
46,4.8,3.0,1.4,0.3,Iris-setosa
93,5.8,2.6,4.0,1.2,Iris-versicolor
48,4.6,3.2,1.4,0.2,Iris-setosa
